"","Site","Species","year","n","Latitude","Longitude","Subregion"
"363","AA1389","CNAT","2024",4,24.937475,-80.547704,"Mid-Upper Keys Transition"
"364","AA1390","DLAB","2024",1,24.935479,-80.547647,"Mid-Upper Keys Transition"
"365","AA1391","CNAT","2024",1,24.933937,-80.551145,"Mid-Upper Keys Transition"
"366","AA1394","CNAT","2024",1,24.899534,-80.544027,"Mid-Upper Keys Transition"
"367","AA1395","DLAB","2024",1,24.889921,-80.580011,"Mid-Upper Keys Transition"
"368","AA1398","CNAT","2024",2,24.835951,-80.729182,"Mid-Upper Keys Transition"
"369","AA1398","CNAT","2024",2,24.835951,-80.729182,"Mid-Upper Keys Transition"
"370","AA1401","CNAT","2024",3,24.735956,-80.805438,"Middle Keys"
"371","AA1401","CNAT","2024",3,24.735956,-80.805438,"Middle Keys"
"372","AA1401","CNAT","2024",3,24.735956,-80.805438,"Middle Keys"
"373","AA1401","CNAT","2024",3,24.735956,-80.805438,"Middle Keys"
"374","AA1401","DLAB","2024",1,24.735956,-80.805438,"Middle Keys"
"375","AA1401","DLAB","2024",1,24.735956,-80.805438,"Middle Keys"
"376","AA1401","DLAB","2024",1,24.735956,-80.805438,"Middle Keys"
"377","AA1401","DLAB","2024",1,24.735956,-80.805438,"Middle Keys"
"378","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"379","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"380","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"381","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"382","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"383","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"384","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"385","AA1403","PSTR","2024",3,24.729286,-80.918669,"Middle Keys"
"386","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"387","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"388","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"389","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"390","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"391","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"392","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"393","AA1403","CNAT","2024",3,24.729286,-80.918669,"Middle Keys"
"394","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"395","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"396","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"397","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"398","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"399","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"400","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"401","AA1403","DLAB","2024",2,24.729286,-80.918669,"Middle Keys"
"402","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"403","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"404","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"405","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"406","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"407","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"408","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"409","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"410","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"411","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"412","AA1404","PSTR","2024",4,24.727936,-80.926086,"Middle Keys"
"413","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"414","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"415","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"416","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"417","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"418","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"419","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"420","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"421","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"422","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"423","AA1404","CNAT","2024",3,24.727936,-80.926086,"Middle Keys"
"424","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"425","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"426","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"427","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"428","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"429","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"430","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"431","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"432","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"433","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"434","AA1404","DLAB","2024",4,24.727936,-80.926086,"Middle Keys"
"435","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"436","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"437","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"438","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"439","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"440","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"441","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"442","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"443","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"444","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"445","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"446","AA1405","CNAT","2024",4,24.724556,-80.932765,"Middle Keys"
"447","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"448","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"449","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"450","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"451","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"452","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"453","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"454","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"455","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"456","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"457","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"458","AA1405","PSTR","2024",2,24.724556,-80.932765,"Middle Keys"
"459","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"460","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"461","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"462","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"463","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"464","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"465","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"466","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"467","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"468","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"469","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"470","AA1405","DLAB","2024",6,24.724556,-80.932765,"Middle Keys"
"471","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"472","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"473","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"474","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"475","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"476","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"477","AA1406","CNAT","2024",6,24.718685,-80.930401,"Middle Keys"
"478","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"479","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"480","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"481","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"482","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"483","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"484","AA1406","DLAB","2024",1,24.718685,-80.930401,"Middle Keys"
"485","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"486","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"487","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"488","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"489","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"490","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"491","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"492","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"493","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"494","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"495","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"496","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"497","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"498","AA1407","CNAT","2024",9,24.717784,-80.935453,"Middle Keys"
"499","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"500","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"501","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"502","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"503","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"504","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"505","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"506","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"507","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"508","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"509","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"510","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"511","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"512","AA1407","PSTR","2024",3,24.717784,-80.935453,"Middle Keys"
"513","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"514","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"515","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"516","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"517","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"518","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"519","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"520","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"521","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"522","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"523","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"524","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"525","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"526","AA1407","DLAB","2024",2,24.717784,-80.935453,"Middle Keys"
"527","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"528","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"529","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"530","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"531","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"532","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"533","AA1408","PSTR","2024",2,24.716739,-80.937457,"Middle Keys"
"534","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"535","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"536","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"537","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"538","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"539","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"540","AA1408","CNAT","2024",5,24.716739,-80.937457,"Middle Keys"
"541","AA1409","CNAT","2024",1,24.71126,-80.947108,"Middle Keys"
"542","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"543","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"544","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"545","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"546","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"547","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"548","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"549","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"550","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"551","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"552","AA1410","PSTR","2024",2,24.70402,-80.993327,"Middle Keys"
"553","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"554","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"555","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"556","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"557","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"558","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"559","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"560","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"561","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"562","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"563","AA1410","CNAT","2024",7,24.70402,-80.993327,"Middle Keys"
"564","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"565","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"566","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"567","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"568","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"569","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"570","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"571","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"572","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"573","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"574","AA1410","DLAB","2024",2,24.70402,-80.993327,"Middle Keys"
"575","AA1411","CNAT","2024",1,24.700389,-80.893007,"Middle Keys"
"576","AA1412","DLAB","2024",1,24.697471,-80.959107,"Middle Keys"
"577","AA1412","DLAB","2024",1,24.697471,-80.959107,"Middle Keys"
"578","AA1412","CNAT","2024",1,24.697471,-80.959107,"Middle Keys"
"579","AA1412","CNAT","2024",1,24.697471,-80.959107,"Middle Keys"
"580","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"581","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"582","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"583","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"584","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"585","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"586","AA1413","CNAT","2024",6,24.693031,-81.020762,"Middle Keys"
"587","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"588","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"589","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"590","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"591","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"592","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"593","AA1413","DLAB","2024",1,24.693031,-81.020762,"Middle Keys"
"594","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"595","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"596","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"597","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"598","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"599","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"600","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"601","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"602","AA1417","PSTR","2024",1,24.680943,-81.007138,"Middle Keys"
"603","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"604","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"605","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"606","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"607","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"608","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"609","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"610","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"611","AA1417","CNAT","2024",5,24.680943,-81.007138,"Middle Keys"
"612","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"613","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"614","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"615","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"616","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"617","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"618","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"619","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"620","AA1417","DLAB","2024",3,24.680943,-81.007138,"Middle Keys"
"621","AA1419","PSTR","2024",1,24.667373,-81.066498,"Middle Keys"
"622","AA1419","PSTR","2024",1,24.667373,-81.066498,"Middle Keys"
"623","AA1419","PSTR","2024",1,24.667373,-81.066498,"Middle Keys"
"624","AA1419","DLAB","2024",2,24.667373,-81.066498,"Middle Keys"
"625","AA1419","DLAB","2024",2,24.667373,-81.066498,"Middle Keys"
"626","AA1419","DLAB","2024",2,24.667373,-81.066498,"Middle Keys"
"627","AA1420","CNAT","2024",1,24.666268,-80.989923,"Middle Keys"
"628","AA1420","CNAT","2024",1,24.666268,-80.989923,"Middle Keys"
"629","AA1420","DLAB","2024",1,24.666268,-80.989923,"Middle Keys"
"630","AA1420","DLAB","2024",1,24.666268,-80.989923,"Middle Keys"
"631","AA1426","PSTR","2024",1,24.625856,-81.111892,"Middle Keys"
"632","AA1441","PSTR","2024",1,24.582427,-81.265506,"Middle Keys"
"633","AA1446","PSTR","2024",1,24.57482,-81.290071,"Middle Keys"
"634","AA1448","CNAT","2024",5,24.567439,-81.650747,"Lower Keys"
"635","AA1448","CNAT","2024",5,24.567439,-81.650747,"Lower Keys"
"636","AA1448","CNAT","2024",5,24.567439,-81.650747,"Lower Keys"
"637","AA1448","CNAT","2024",5,24.567439,-81.650747,"Lower Keys"
"638","AA1448","CNAT","2024",5,24.567439,-81.650747,"Lower Keys"
"639","AA1449","CNAT","2024",5,24.566861,-81.390728,"Lower Keys"
"640","AA1449","CNAT","2024",5,24.566861,-81.390728,"Lower Keys"
"641","AA1449","CNAT","2024",5,24.566861,-81.390728,"Lower Keys"
"642","AA1449","CNAT","2024",5,24.566861,-81.390728,"Lower Keys"
"643","AA1449","CNAT","2024",5,24.566861,-81.390728,"Lower Keys"
"644","AA1449","CNAT","2024",5,24.566861,-81.390728,"Lower Keys"
"645","AA1449","DLAB","2024",1,24.566861,-81.390728,"Lower Keys"
"646","AA1449","DLAB","2024",1,24.566861,-81.390728,"Lower Keys"
"647","AA1449","DLAB","2024",1,24.566861,-81.390728,"Lower Keys"
"648","AA1449","DLAB","2024",1,24.566861,-81.390728,"Lower Keys"
"649","AA1449","DLAB","2024",1,24.566861,-81.390728,"Lower Keys"
"650","AA1449","DLAB","2024",1,24.566861,-81.390728,"Lower Keys"
"651","AA1451","PSTR","2024",1,24.563432,-81.478982,"Lower Keys"
"652","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"653","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"654","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"655","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"656","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"657","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"658","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"659","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"660","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"661","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"662","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"663","AA1452","PSTR","2024",2,24.563206,-81.657397,"Lower Keys"
"664","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"665","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"666","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"667","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"668","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"669","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"670","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"671","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"672","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"673","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"674","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"675","AA1452","DLAB","2024",2,24.563206,-81.657397,"Lower Keys"
"676","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"677","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"678","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"679","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"680","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"681","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"682","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"683","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"684","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"685","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"686","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"687","AA1452","CNAT","2024",8,24.563206,-81.657397,"Lower Keys"
"688","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"689","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"690","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"691","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"692","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"693","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"694","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"695","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"696","AA1454","CNAT","2024",8,24.56138,-81.661669,"Lower Keys"
"697","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"698","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"699","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"700","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"701","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"702","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"703","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"704","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"705","AA1454","DLAB","2024",1,24.56138,-81.661669,"Lower Keys"
"706","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"707","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"708","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"709","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"710","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"711","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"712","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"713","AA1455","CNAT","2024",7,24.560715,-81.664583,"Lower Keys"
"714","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"715","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"716","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"717","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"718","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"719","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"720","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"721","AA1455","DLAB","2024",1,24.560715,-81.664583,"Lower Keys"
"722","AA1456","PSTR","2024",1,24.558936,-81.507613,"Lower Keys"
"723","AA1456","PSTR","2024",1,24.558936,-81.507613,"Lower Keys"
"724","AA1456","DLAB","2024",1,24.558936,-81.507613,"Lower Keys"
"725","AA1456","DLAB","2024",1,24.558936,-81.507613,"Lower Keys"
"726","AA1458","CNAT","2024",4,24.550689,-81.586033,"Lower Keys"
"727","AA1458","CNAT","2024",4,24.550689,-81.586033,"Lower Keys"
"728","AA1458","CNAT","2024",4,24.550689,-81.586033,"Lower Keys"
